A1CF
GINS2
GJA1
GJB2
GJB5
GJB6
GLCCI1
GLI3
GLIS3
GLP2R
GMDS
GNA13
GNA14
GNA15
GNB1
GNG11
GNG2
GOLM1
GOPC
GP2
GPA33
GPBAR1
GPC6
GPM6B
GPR34
GPR87
GPRC5A
GPRIN3
GPX2
GPX3
GPX7
GREM1
GRIP2
GRP
GSDMC
GSN
GSTA2
GSTO1
GTF2IRD1
GUCY1A1
GUCY2C
GVINP1
GZMK
H19
HABP2
HCAR1
HCAR2
HCAR3
HCFC1R1
HDHD3
HDLBP
HEG1
HEPACAM2
HEPH
HES2
HES6
HEYL
HGF
HHLA2
HIVEP2
HK2
HLA-DPA1
HLA-DPB1
HLA-DQA1
HLA-DRA
HLA-DRB1
HLA-E
HLF
HMGA1
HMGA2
HMGCS2
HMMR
HNF4A
HOXB13
HPGDS
HPN
HS6ST1
HSD11B2
HSD17B2
HSD17B6
HSPB1
HSPB6
HSPB8
HSPG2
HTR1B
HTRA1
HYCC1
ID4
IFIT1
IFITM10
IGF1
IGF1R
IGF2BP2
IGFBP4
IGFBP7
IGFL2
IGHA1
IGHA2
IGHG1
IGHG2
IGHG3
IGHG4
IGHV1-18
IGHV3-15
IGHV3-23
IGHV3-30
IGHV3-33
IGHV3-7
IGHV3-74
IGHV4-39
IGHV4-59
IGHV4-61
IGKC
IGKV1-12
IGKV1-17
IGKV1-5
IGKV3-11
IGKV3-15
IGKV3-20
IGKV3D-20
IGKV4-1
IGLC3
IGLL5
IGLV1-40
IGLV1-51
IGLV2-11
IGLV2-14
IGLV2-23
IGSF6
IHH
IKZF1
IL18BP
IL1A
IL1R1
IL20RB
IL23R
IL31RA
IL33
IL6ST
ILK
INHBA
INMT
INS
IQGAP2
IRF4
ISM1
ISOC1
ITFG1
ITGA11
ITGA3
ITGA4
ITGA5
ITGA7
ITGAL
ITGB1
ITGB3
ITGB4
ITGB5
ITLN1
ITM2A
ITM2B
ITPR2
IYD
JAG1
JCAD
JCHAIN
JPH1
JUP
KCNA3
KCNE3
KCNE4
KCNH3
KCNJ16
KCNJ8
KCNK16
KCTD12
KEL
KIAA1217
KIF18A
KIF1A
KIRREL2
KIT
KLC3
KLHDC7B
KLHL32
KLK1
KLK10
KLK11
KLK13
KLK6
KLRB1
KRT13
KRT14
KRT15
KRT16
KRT17
KRT19
KRT20
KRT4
KRT5
KRT6A
KRT6B
KRT6C
KRT7
KRT80
KRT81
KRT86
KSR1
L1CAM
LAD1
LAMA2
LAMA4
LAMA5
LAMB2
LAMB3
LAMC1
LAPTM5
LBH
LCP1
LCP2
LEMD1
LEPR
LGALS1
LGALS4
LHFPL6
LIFR
LINC01948
LMO3
LMOD1
LOC389602
LOX
LOXL1
LOXL2
LPAR3
LPCAT4
LPP
LRP5
LRRC15
LRRC46
LRRC66
LRRC75A
LRRC8C
LRRIQ1
LRRK2
LRRN1
LSAMP
LUM
LXN
LY6D
LY75
LYPD3
LYST
LYZ
MAB21L4
MACF1
MAGED1
MAGEL2
MAK
MALL
MAN1A1
MAP3K20-AS1
MAP4
MAP4K4
MAPK15
MAPK3
MARCHF1
MARCKS
MARCKSL1
MARVELD1
MAT1A
MCC
MDFIC
ME1
MEDAG
MEF2C
MELTF
MEOX2
MEST
MFAP5
MFGE8
MGAM2
MGAT4A
MGP
MGST2
MGST3
MICAL2
MIF
MLF1
MLPH
MMP11
MMP13
MMP14
MMP2
MMP7
MNS1
MOGAT3
MOXD1
MPEG1
MPZL1
MRC2
MS4A2
MS4A6A
MSLN
MSMB
MSRB3
MST1R
MT1G
MT1H
MT1X
MT2A
MTMR11
MTSS1
MUC1
MUC13
MUC16
MUC17
MUC2
MUC3A
MUCL3
MXRA5
MXRA7
MXRA8
MYADM
MYB
MYBL1
MYH10
MYH11
MYH14
MYH9
MYL9
MYLK
MYO1A
MYO1B
MYO1E
MYO7B
MYOF
MYOM1
MYRF
MYRFL
MYRIP
MZB1
NAV1
NCOR2
NCR3LG1
NDN
NDRG1
NEUROD1
NFATC2
NFIA
NFIB
NGFR
NHERF4
NID2
NIPAL4
NKD2
NKX2-2
NMU
NNMT
NOP10
NOSTRIN
NOX1
NPC1L1
NPC2
NPR3
NPSR1
NQO1
NR1I2
NR2F2
NR3C1
NR3C2
NRG1
NRP1
NRP2
NT5E
NTM
NTRK2
NUAK1
OAF
OAS2
ODAD1
ODAD4
OGN
OLFML3
OMD
OMP
ONECUT1
ONECUT2
ONECUT3
OSMR
OSR1
OTULINL
P2RY13
P2RY2
P4HA1
PADI1
PADI3
PAG1
PAH
PAIP2
PAPLN
PAPPA
PAQR8
PARVA
PCDH18
PCDH7
PCSK5
PDCD4
PDE11A
PDE1A
PDE3B
PDE5A
PDGFC
PDGFRA
PDGFRL
PDIA2
PDLIM3
PDLIM5
PDLIM7
PECAM1
PELI2
PFDN2
PFKP
PGC
PHACTR3
PHF3
PHGR1
PHLDA1
PHYHIPL
PIERCE1
PIFO
PIK3C2B
PIK3CG
PIK3R1
PIP5K1B
PIWIL1
PKHD1
PKP1
PLA2G10
PLAAT2
PLAAT3
PLAAT4
PLAC8
PLAU
PLCE1
PLCXD3
PLEKHA2
PLLP
PLN
PLOD1
PLOD2
PLS1
PLS3
PLSCR4
PMAIP1
POF1B
POSTN
POU2AF2
POU2F3
PPFIBP1
PPIL6
PPL
PPP1R13L
PPP1R14B
PPP1R1B
PPP4R4
PPT1
PPY
PRAP1
PREX2
PRG4
PRKCB
PROS1
PROX1
PRR11
PRR15
PRR15L
PRR29
PRRX1
PRSS1
PRSS12
PRSS2
PRSS23
PRSS3
PRUNE2
PSAPL1
PSIP1
PSMA7
PSMC1P2
PSMD2
PTCH1
PTEN
PTGDS
PTGES
PTGIS
PTHLH
PTK7
PTPN13
PTPN14
PTPRC
PTPRR
PTX3
PXDN
PYGL
PYHIN1
RAB25
RAB31
RAB36
RAB38
RAB3B
RAI14
RAMP2
RAP1A
RAP1GAP
RAPGEF5
RAPGEFL1
RARRES1
RARRES2
RASEF
RASSF2
RBM47
RBMS3
RBPMS2
RCN1
RCN3
REG1A
REG1B
REG3A
REG4
REP15
RFK
RFLNA
RFX6
RFX8
RFXAP
RGL1
RGS18
RGS2
RGS5
RGS7
RGS7BP
RHCG
RHOV
RIMOC1
RIMS2
RIN2
RNASE6
RNASE7
RNF128
RNF181
RNF186
RPL8
RPS21
RPS6KA2
RSPH1
RSPH4A
RSPO3
RTL8C
RUNX1
RUNX1T1
RUNX2
S100A2
S100A4
S100A8
S100A9
S100P
S1PR1
SAMHD1
SASH1
SCAND3
SCEL
SCGN
SCN7A
SCNN1G
SCPEP1
SCTR
SCUBE3
SDR16C5
SEC24D
SEC31A
SEC61G
SELENBP1
SELENOP
SEMA4B
SEMA4G
SEPHS2
SEPTIN6
SERINC1
SERPINA4
SERPINA5
SERPINA6
SERPINB3
SERPINB4
SERPINB9
SERPINF1
SERPINH1
SESN3
SETD5
SFRP1
SFRP2
SFRP4
SFRP5
SFTA2
SGCD
SGK1
SGK2
SH2D6
SH3PXD2A
SH3PXD2B
SHC1
SHOC1
SLAMF6
SLAMF7
SLC13A2
SLC16A1
SLC16A12
SLC16A3
SLC17A4
SLC19A3
SLC1A1
SLC1A3
SLC26A5
SLC28A2
SLC2A1
SLC2A2
SLC2A3
SLC2A9
SLC30A2
SLC30A8
SLC35A3
SLC37A2
SLC38A3
SLC39A5
SLC3A1
SLC40A1
SLC44A4
SLC4A11
SLC4A4
SLC5A3
SLC6A19
SLC6A20
SLC6A7
SLC8A1
SLC8A3
SLC9A2
SLC9A4
SLC9B2
SLCO1B3
SLIT2
SLIT3
SLITRK5
SMAD9
SMOC2
SMPD3
SNAI2
SNCG
SNRK
SOD3
SOX6
SPAG8
SPARC
SPARCL1
SPECC1
SPINK1
SPINK4
SPOCD1
SPOCK1
SPON1
SPP1
SPRR1A
SPRR1B
SPRR3
SRC
SRGAP3
SRGN
SSH1
SST
ST6GAL2
ST6GALNAC1
ST6GALNAC2
STIP1
STK4
STOM
SULF1
SULF2
SULT1B1
SULT1C2
SVEP1
SYNE1
SYNM
TACC1
TAGLN
TAMALIN
TANC2
TBC1D2
TCF7L1
TEAD1
TEAD3
TENM2
TENM3
TENT5C
TFF1
TFF2
TFF3
TGFB1I1
TGFB3
TGFBI
TGFBR1
TGM1
TGM2
THBS1
THBS2
THBS4
THEMIS
THY1
TIMP1
TIMP2
TIMP3
TJP3
TLDC2
TLN1
TLR2
TLR8
TM4SF20
TM4SF4
TM4SF5
TMC5
TMED6
TMEM131L
TMEM132C
TMEM139
TMEM156
TMEM158
TMEM169
TMEM200A
TMEM253
TMEM38A
TMEM40
TMEM45A
TMEM45B
TMEM88
TMPRSS6
TMT1A
TMT1B
TNC
TNFRSF11A
TNFRSF18
TNFSF13B
TNFSF4
TNNI2
TNNT1
TNNT3
TNS4
TNXB
TOR1AIP1
TOX
TOX3
TP63
TP73
TPBG
TPH1
TPI1
TPM1
TPM2
TPM4
TRIM31
TRIM54
TRIO
TRIP10
TRPA1
TRPC4
TRPM4
TSHZ2
TSKU
TSPAN1
TSPAN15
TSPAN3
TSPAN8
TST
TTC16
TTLL6
TTLL9
TTR
TUBA1A
TUBB
TUBB3
TWIST1
TXNDC16
TXNIP
UBE2C
UBE2S
UCA1
UCP2
UGT2A3
UNC5B
USH1C
UTRN
VCAN
VCL
VGLL1
VGLL4
VIL1
VILL
VIM
VIPR1
VPS13C
VSIG1
VSIG2
VSIG4
VSTM2L
VTN
VWA3A
WNK1
WNK2
WNK4
WNT10A
WNT2B
WNT5A
WNT7B
WT1
XG
XIRP1
YAP1
ZBED2
ZBP1
ZC3H6
ZCCHC14
ZCCHC24
ZEB2
ZFP36L1
ZFPM1
ZHX1
ZMYND10
ZNF233
ZNF281
ZNF385A
ZNF433
ZNF469
ZNF474
ZNF483
ZNF532
ZNF704
ZNHIT3
