,Subtype,EPYC,KRT14,LRRC15,OMD,MFAP5,SFRP2,ADAM12,IGKV1-12,COL11A1,FAM180A,FNDC1,GALNT15,POSTN,COL10A1,FIBIN,COL1A1,WT1,COL1A2,CMKLR2,TIMP3,XIRP1,COL3A1,MEDAG,MAGEL2,FN1,COL6A3,IGFL2,ST6GAL2,HSD17B6,GREM1,MUC2,SPINK4,VTN,SLC6A19,APOB,PGC,ITLN1,SLC28A2,GP2,ALB,PSAPL1,PDIA2,REG4,REG1B,A4GNT,C2CD4B,SLC13A2,AKR1C4,SLC19A3,TFF2,MT1H,REG3A,PRAP1,MAP3K20-AS1,SLC39A5,TM4SF20,MT1G,HPN,SH2D6,POU2AF2
s184,Consensus_class_1,-0.149524194906934,-0.413187146075969,0.471029631754243,1.74095231006467E-08,0.419557414954211,1.49257096943128,0.707447726082621,-0.457582702751229,2.07779990069345,-0.0020584029125671,1.31337402372799,-0.213015745223721,0.799616777682742,1.67729237625851,0.208487634264586,3.58044499339928,-0.374729797460449,3.00248303077632,-0.400320329722907,0.493989136394913,-0.0765377130570076,2.26730475728203,-0.186602641635299,-0.112199197189781,2.41500245162308,2.42712698732946,-0.238143717683358,0.0541321932448026,-0.166607531221237,0.680052005928201,-0.195526182680553,-1.46743318186263E-15,-0.445931270987173,-0.336135303681968,-0.312071739286634,-0.590687458677584,-0.0196091153188457,-0.244338668741993,-1.4705073958244E-10,-0.776288217263136,-0.457582702751229,-0.389104311497073,-0.109987422183302,-0.624356064584861,-0.24874182331444,-0.264090291692883,-0.403798770382798,-0.343004458322084,-0.180280536586136,-0.0200398855657099,-0.442641029479955,-0.445880861418225,-1.06843513969721,0.0551325557439776,-0.306879845353267,-0.17204295986406,-0.0777352274651813,-0.275759997052516,-0.417280669443497,-0.203369555551197
s185,Consensus_class_1,-0.0682966983929596,-0.334020564406371,0.318610075191577,1.70311367577481E-08,0.101929484468271,0.942852182635578,0.301926860307548,-0.497111611419094,1.42134159121183,-0.0093721554393015,0.689619951162402,-0.334020564406371,0.508989217006909,1.28508947785993,0.0184700815053503,2.53376574080716,-0.547357931869236,3.32919453527719,-0.497111611419094,1.25322594766901,-0.749367702030305,1.45640181913024,-0.334020564406371,-0.0960577262456071,2.8732661765015,1.8435917666697,-0.101091448469335,0.0289475803996102,-0.696227594812698,0.0984093480836566,-0.719377230687289,-0.984009014815344,-0.227885721799047,-0.497111611419094,-0.233669943417871,-0.0987777948721639,-0.944490585148196,-0.0009486422859764,-4.27069839811707E-78,-0.419387507097423,-0.497111611419094,0.071613532285594,-0.002247581399532,0,-1.00282629659346,-0.077439514068397,-0.497111611419094,-0.334020564406371,-0.0762819500225976,-0.287957904458929,-0.16322278662783,-6.213354421346E-77,-1.08494514646265,-0.497111611419094,0.0163973662476035,-0.128531376501795,0,-0.0005418842199463,-0.334020564406371,-0.497111611419094
s186,Consensus_class_1,-0.0244183101999178,-0.176357757490298,1.22281105277629E-08,5.38424062848445E-13,1.27786439266941E-11,0.286824907510869,0.125355324022557,-0.235661272234338,6.31374987438187E-11,-1.18488853819635E-05,0.612465746988993,-0.257299824943464,1.35544457646941E-07,0.391232447105003,2.04152866862506E-08,2.45173077411976,-0.10570404851946,2.63399707736856,-0.257299824943464,0.17808189544566,-0.0388748514865491,0.546915129445395,-0.297398071117321,-0.0686349048797203,0.699691959171899,1.37189799089189,-0.0032635067711971,1.09950118675999E-12,-0.104433810648178,4.08522317580956E-11,-0.367384856485506,-0.920557346981127,0.0796170340602071,0.0479918951741312,-0.229874719476258,-0.602983960862895,-0.224441441894782,-0.777415133348695,-3.16162620437477E-77,-0.452485250566204,-0.248397284320174,0.193112278537574,-1.02530366453402E-06,-0.613223998487355,-0.215213912832592,-0.0272392858890714,-0.101024294819339,-0.15916797075962,-0.168249649523069,-2.46420854030577E-06,-0.209269391419654,-4.44024036303604E-79,-1.36693420604144E-76,-0.233196277223893,0.111759851484314,-0.217557537698123,0,-1.06198854007138E-08,-0.169212891857809,-0.144123652057533
s187,Consensus_class_1,-0.0323169684644481,-0.517960484957777,0.381568574607884,3.14548784304478E-09,1.31973328965703E-08,1.46563639067843,0.542929251627881,-0.37822713163855,2.63018239226474E-09,-0.0017236742845915,1.37210784887835,-0.302836779192458,2.69486422320985E-05,1.41727389966508,0.113861265487397,3.57053448498172,-0.0996681839328666,3.45212986034594,-0.553244102642748,0.883446141681894,-0.707621269248691,1.33254366426885,-0.157179191681796,-0.40113957194996,1.88838688787956,2.5222296750283,-0.028648342864433,1.73405044550118E-07,-0.289108943534854,0.865544777873608,-0.688353936158898,-0.933831875948668,-0.398024829860323,-0.137987778422647,-0.24307075841816,-0.0668936875667638,-0.825289033004063,-0.405278786062691,-4.79313265248158E-78,-0.517766332919285,-0.0720779160568297,-0.246408424699953,-0.0002255395281802,-2.08530566855302E-78,-0.867045323949767,-0.0766401679481336,-0.0010937008785077,-0.507720357044975,-0.183476237680783,-0.0057941521036674,-0.351314066235784,-0.665415626336371,-0.93794111782786,-0.323459121386845,0.0511138200863709,-0.466747272414418,0,-0.246876658408046,-0.362712794219865,-0.295994866720702
s188,Consensus_class_1,-0.0292627691937649,-0.470017296044418,0.0190446175993091,1.06491111028347E-10,1.75879149486097E-08,1.85331433923192,0.77123730692542,-0.175193593171538,0.884025859041044,-0.0562553303172588,0.953790303465885,-0.222625186364021,0.0001181080552972,0.806307594286292,0.208158792017268,4.24095997340497,-0.406429202848635,3.37864117220376,-0.410934400369958,0.51457435607617,-0.0201116652813033,2.01402691519317,-0.0774771240744291,-0.363092037261144,2.0194408728364,2.67832954198318,-0.312281483526786,0.0682631235254308,-0.2716687035456,0.453131569699741,-0.584916666689061,-0.368787048856511,-0.443368637219961,0.40545280049718,-0.23414500733349,-1.70564764237338E-11,-0.340107979862627,-0.693474059735816,-3.40772459463564E-14,-0.721352851771797,-0.366911914078954,0.651903035174183,-0.0001815965371058,-0.666589188063761,-0.0900218150763862,-0.119715431785416,-0.414959670858704,-0.478962487915164,-0.231668324649652,-3.99001060841026E-77,-0.52803195290856,-0.723663399104095,-0.876012199632898,-0.234253006707015,-0.24461280224563,-0.219963444636912,-0.315182753114863,-0.227949690325937,-0.405164288556323,-0.310156172090555
s189,Consensus_class_2,-0.208530948563712,-0.604081175113723,0.995281466908832,0.279192129005251,0.867777433879483,1.92427500885824,0.635674227090815,-0.0837588209891432,2.07743402578705,-7.33120321884862E-05,1.27208442848949,-0.346868763069112,1.04261942154342,1.89084845929437,0.0662028140446809,3.93731230797145,-0.020511379189847,1.18455272190426,-0.674390986321953,1.12139630404171,-0.489488411310787,2.82584546531785,-0.201022412101298,-0.0904185506227737,2.67247481635541,2.66292155243497,-0.351157675355531,1.81376270495524E-07,-0.62239702330905,0.770397692032959,-0.778899388167996,-0.39901920207221,-0.362173929417411,-0.0046550514927143,-3.1201005446527E-12,-0.0676857635294253,-0.161373177140004,-0.0922575648895636,-1.24636844737312E-77,-0.655301456540293,-0.264690978386485,-0.175239768739933,-0.0044983545401189,-0.654173403439863,-0.0217163515762019,-0.282721961150251,0.338624572428258,-0.290054150452808,-0.0007881718797255,-1.21326356806011E-06,-0.451304094133057,-0.394710598697404,0,-0.348433894997242,0.248604449776405,-2.51030132478654E-12,-7.82431961798216E-10,-0.252518915636457,-0.490864646702421,-0.490864646702421
s190,Consensus_class_2,-0.33227000937924,0.0025192089087339,1.16970958771938,0.10378862298471,0.87917426519907,2.49907498917275,1.74287798061065,-0.715485225441702,3.01908670320027,-3.31585209227092E-05,1.4261937508336,-0.259478816498489,2.47516477235042,2.13911179937616,0.136334485893582,4.4015465003392,-0.650474607397838,0.118623190897816,-0.311794871116995,1.89151624287055,-0.515627390939399,3.59331120684833,-0.0611678261328818,-0.291872155155498,4.37298908699531,3.65485669077293,-0.0247561354438248,0.182591944470652,-0.63862440763465,0.723560020377008,-0.257803184227533,-0.953785346235666,-0.609319913178028,-0.715485225441702,-0.31944895275736,-0.452440531428427,-0.844155431759627,-0.807716899713661,-0.867543388836227,-0.020377070088781,-0.715485225441702,-0.404573517140849,-0.657624771084494,-0.665095440058724,-0.921090640025269,-0.551631271318522,-0.715485225441702,-0.642483648001907,-0.197076861485199,-3.29014875264697E-05,-0.619065911743171,-0.723209382135514,-1.03422916463305,-0.507388874008919,-0.55360053911783,-0.473404075191255,-0.80077453586104,-0.380202427642171,-0.715485225441702,-0.715485225441702
s191,Consensus_class_2,-0.148027475222585,-0.671792969376945,0.492204704474576,0.39263587669086,0.686211445615683,1.80013642463408,0.886287661911175,-0.671792969376945,1.83005448731368,-0.0020268778037966,0.801845945699966,-0.428715961321279,1.21610027627413,1.94792727212271,0.116774837064216,3.85990605353455,-0.612080467027741,0.542251851993285,-0.40386157384739,1.5090223557918,-0.682452146067905,3.24112347437359,-0.0287693335082125,-0.829341367394933,2.94313376482912,2.86575108028016,-0.342051566141515,4.46928758702945E-08,-0.217500048238005,0.417109684060207,-0.213755112928828,-0.998106993393015,-0.602473125603424,-0.504020850403855,-0.282062735305659,-0.0760397920371916,-0.892263636135976,-0.0752730614680513,-0.827122956518533,-0.677651769838886,-0.671792969376945,-0.478961648561706,-0.071689945526667,-0.641977093263114,-1.01498329939149,-0.518278158559743,-0.671792969376945,-0.467730603342593,-0.358755793250369,-7.94277449391164E-05,-0.671792969376945,-0.475465265974975,-1.09484628711088,-0.671792969376945,-0.467730603342593,-0.437701817131588,-0.440926993310774,-0.376139363885915,-0.55231165855287,-0.381653607061166
s192,Consensus_class_2,-0.344491418678265,-0.294381688377094,0.853673746984513,0.192225316535635,0.533733290350478,2.07272040146799,1.27696573895696,-0.387330483955156,2.60560423271943,-3.81287957736739E-05,1.25228362591909,-0.249030812539624,0.988698311092816,2.24440403526723,0.110233123673753,4.72270381168313,-0.646308377255721,0.282863964729734,-0.480067916115462,2.08041965518672,-0.269242052356035,3.09058391995361,-0.363270667713069,-0.146966574535874,3.89313418342651,3.3686426690779,-0.12650084159207,0.0604516314708427,-0.620228908898553,0.460374251876896,-0.584487986782113,0,-0.51871575677273,-0.384586990301809,-0.24178406139694,-0.46401005874969,-0.951933677531435,-0.764774618538244,-0.838839637855877,-0.683119409848607,-0.614676765187688,-0.509345852144941,-9.74179844674272E-06,-0.669543620822847,-0.960732986016098,-0.370767772098456,-0.614676765187688,-0.464249206212247,-0.223734177421121,-1.49265395742004E-09,-0.478878717330813,-0.739369919502299,-1.09053028796996,-0.560907764425833,0.214876200193289,-0.21855000074664,-0.370473381751747,-0.434941386844267,-0.495208770594397,-0.495208770594397
s193,Consensus_class_2,-0.370151669713371,-0.486113352662525,0.670621853921442,4.56666920490864E-10,0.296660527472946,1.65937710011528,0.977953033347711,-0.338348275263149,2.22720338031322,-0.0003812148699739,0.977261884670492,-0.310400727556215,1.3517031021048,1.83926228558109,0.108268375638886,4.11109758887367,-0.284410780755273,1.9373285716477,-0.42247259719369,1.66596722937592,-0.695711965235634,2.60198234339546,-0.227644329054388,-0.103131684896808,3.62130007757209,2.87555989221252,-0.306399862850142,0.0442825974791403,-0.515011997446534,0.738807590367164,-0.316295247223513,-0.90362124543847,-0.42247259719369,-0.462786375055967,-0.276216310753134,-6.3903856203565E-05,-0.863507700314177,-0.765599172405584,-1.28426114457658E-78,-0.211247127564333,-0.476440412253698,0.026256649368824,-0.347978531170731,-1.01005299212223E-75,-0.066180047187641,-0.316612345031313,-0.486113352662525,-0.486113352662525,-0.350921894265543,-0.0687911758230135,-0.396022606379231,-1.76115935476671E-79,-1.03185735453821,-0.447781915246962,-0.233087102735869,-0.449048318225555,-5.22013367100462E-10,-0.206239318864845,-0.447781915246962,-0.457294673693269
s194,Consensus_class_2,-0.472229552569554,0.748668693655961,1.23280895702539,0.270373565716981,0.930337320148441,1.38783490703134,0.729297981887769,-0.623712920148833,2.08463741392046,-0.0012823938477322,0.840740314205885,-0.469143697683234,1.05289323127829,1.56328367229907,0.045174717197663,3.34682373599036,-0.650207753675116,1.59199684223199,-0.0952395811403335,1.33621270563187,-0.645619218176823,2.59746506143513,-0.0606072184690369,-0.0338556412839834,4.26709052120272,2.24791108294459,-0.359415321741631,0.141125896146086,-0.599463385541173,0.74829745808865,-0.808825898106558,-0.965777750367857,-0.469143697683234,-0.469143697683234,-0.303362211933514,-0.473041542450892,-0.304701357081124,-0.338443107998603,-0.447600416614359,-0.306197614945522,-0.623712920148833,-0.623712920148833,-0.0192171437452042,-0.55538251485029,-0.987097814277611,-0.36330111198104,-0.469143697683234,-0.623712920148833,-0.350671770647197,-4.31384760288664E-08,-0.623712920148833,-0.318763717651446,-0.867263545959844,-0.623712920148833,-0.623712920148833,-0.412791634327729,-0.0001356854854197,-0.241175977044031,-0.623712920148833,-0.623712920148833
s195,Consensus_class_2,-0.164609672014419,-0.409300179437508,0.736324905060583,0.0171329824585753,0.914301508163496,1.98679297600343,1.57839264068126,0.164758395837427,2.95069385067523,-8.56959711101034E-05,1.34316783913016,-0.335123017761819,1.68149759203773,1.98745901781656,0.176681137074712,4.6822566900098,-0.314722151353456,0.179817866015089,-0.522402103973089,1.27373791364853,-0.0798550892615146,3.46845941786297,-0.188951850488604,-0.147003162459197,4.01684331925908,3.34203275847874,-0.0006686535080418,6.83766861765992E-08,-0.588641592588065,1.42216332558775,-0.190047951506251,-0.962004721177727,-0.54839189032877,-0.435648244948714,-0.303714154163237,-0.422130607291759,-0.924165619228715,-0.797885305280859,-0.0912323668616089,-0.713128197827069,-0.643555549320645,-0.274551157552198,-0.657703991794789,-0.660237768479863,-0.386827420944516,-0.565720986683737,-0.672131497731758,-0.481428721134215,-0.0972240022551683,-0.913945212160934,-0.50987072579016,-0.485241148140388,-0.426646564368301,-0.395977613115954,-0.238777174808703,-0.12803450422475,-2.28891925551168E-05,-0.0230584626781985,-0.545223216189165,-0.527745527953412
s196,Consensus_class_2,-0.0636058782907529,-0.549434080586163,0.0683369573068202,0.394164362817023,1.65101572124642,2.94691384595382,1.03939493516708,-0.514143133831658,1.83679893945049,-0.0007795494991757,1.86910059017728,-0.332742638884718,1.15385481206996,1.56906648728945,0.0659096093594264,5.06717336484211,-0.108335725945236,0.0742739247321154,-0.567913053130209,0.238384873685939,-0.131310468988131,3.92975288104443,0.182666641503462,-0.633896718927523,2.80403957241087,3.09662907122791,-0.241126990012622,0.0751201135500834,-0.623705437179479,0.29422829436,-0.285664538538465,-0.860512395086249,-0.653934223223753,-0.567913053130209,-0.287977786402733,-0.310000027389083,-0.945321459042252,-0.804308609730617,-0.437478069337042,-0.715624322397898,-0.805602550696455,-0.61458208105271,-0.671875159435873,-0.54199867105468,-0.992995474305089,-0.537791879089858,-0.84425488047558,-0.788288795226203,-0.158115387093587,-0.0246638523621837,-0.755035936773943,-0.405428883624016,-1.08558058955532,-0.828226348543559,-0.663413439058596,-0.47598123705891,-0.272843099838498,-0.232743475990845,-0.828226348543559,-0.724328237632932
