,Subtype,AGR2,AGR3,ANXA10,ANXA8L1,AREG,BTNL8,CDH17,CEACAM6,CLRN3,CST6,CTSE,CTSV,CYP3A7,DHRS9,FAM3D,FAM83A,FGFBP1,GPR87,KRT15,KRT17,KRT20,KRT6A,KRT6C,KRT7,LEMD1,LGALS4,LY6D,LYZ,MYO1A,PLA2G10,PRR15L,REG4,S100A2,SCEL,SERPINB3,SERPINB4,SLC2A1,SPINK4,SPRR1B,SPRR3,ST6GALNAC1,TFF1,TFF2,TFF3,TNS4,TSPAN8,UCA1,VGLL1,VSIG2
s12,Classical,2.87109439120749,1.14577832314025,2.29127845691009,-0.851185755994768,1.19899781436138,1.14594266374584,1.66948580767946,3.74410449904105,0.48810305768075,-0.710131928303872,3.36440684290189,-0.683210385677962,-1.00263666053292,0.485239098927331,-0.312016702885482,0.132549530932486,-1.2772958180199,-1.01803262719345,0.540082089007615,2.28151244489924,-1.04613371700268,-0.0788285709216349,-1.35656374064936,2.58942256553443,0.0989430659412237,3.61179090284087,-1.41676175049959,2.75321226672756,0.662767092196751,0.31594708372474,0.896506576238925,3.03476652161868,-0.991379161058014,0.214735694668342,-1.11230277345584,-1.23091951590219,2.54943682901688,-1.32249632609825,-1.53620393690031,-1.46717075433838,1.39639269006985,3.06011524344985,2.12196499307108,1.66676940974503,1.69356270323743,1.99232381395741,-1.49807698331564,-0.500678318131822,1.77435282135981
s13,Classical,1.34358392891496,-0.346346020645155,-0.848175020769376,-1.48122435877898,-0.218675724386255,-0.672249626242194,1.51417906753709,0.527801857055368,-0.846439726797827,-1.61429191688244,2.54565404330603,-1.09687800597454,-1.44575146657279,-0.898768910512706,-0.134788501332135,-1.73001774200672,-1.62499343818703,-1.75754710461715,-0.260035580693042,0.145947712751948,0.29129557241113,-1.2034924881659,-1.73001774200672,0.84648442146356,-1.39845895245886,1.34584000856415,-1.70891461102595,4.08866077603447,0.325544228186023,-1.36082858328554,-0.0961869537363006,0.525476768369115,-1.45141133817588,-1.38871144816325,-1.70891461102595,-1.67549796697054,0.631004600820678,-1.61429191688244,-1.70891461102595,-1.60412318057231,-0.431973151060807,-0.402282267299456,-0.47191125256425,-0.0421101887630227,0.0495854928516182,2.17022970226204,-1.70891461102595,-0.662970319406205,-0.887585068089703
s14,Classical,2.92769390109704,1.05291867066324,0.878102915268199,-1.38247951832825,0.881355990015704,-0.280713159113202,0.775679099060824,3.66450796640537,0.249860071432915,-1.18363634827706,2.95116867663123,-1.03214703633729,-1.56637487468516,-0.772509368783228,-0.527068658800087,-0.438192621935653,-1.34338828501894,-1.40422693682053,0.285965368155597,2.00503263489521,0.0971136816520168,0.158923367806309,-1.20821902448881,1.7878350223803,-0.0112833480136933,2.05278648854441,-1.22107357811757,3.15322034742967,1.12827529120106,-0.108943603668456,0.622930435859502,2.04989748758136,-1.00668867118229,0.864945324576911,-1.40422693682053,-1.56637487468516,1.44648570285175,-1.51981581753585,-0.966776816377797,0.437930658113219,0.932050502336625,2.11415678092247,1.69027365059615,0.796605027699258,1.94235588895758,2.32374994921259,-1.16037673030414,-1.11716882412316,1.03644060001097
s15,Classical,2.83795151505844,1.30365822158975,1.75380210019381,-0.404785482270652,1.19971830112557,0.563976542253847,0.77942497355286,3.47698911808974,0.633293262993898,-0.80758842286895,2.73341047248159,-0.417443145530395,-1.31884743386524,0.664607309925643,0.595807048655369,0.378156655997954,-1.08442330797761,-0.675285878654164,0.821666582399797,2.49810275740305,-1.40124281883515,1.77570954663887,-0.643606283281318,2.47688018664631,-0.351410782433014,2.66622534546697,1.20343646355759,2.21121686864864,1.30864079687621,0.725936481138272,1.33242870477351,1.60009813149945,0.243727285933895,0.180858479775517,-1.44696981393341,-1.56824248515757,1.79964350675177,-1.41546932869124,0.120351205813721,-0.557003949857475,1.18025896293613,2.90296036538216,1.42068447364219,1.60985489970545,1.80624633244879,2.78190731790272,-1.53348841275419,-0.511339786419973,2.00704352641373
s16,Basal-like,1.83268652469435,-0.0924764889640493,0.748963566308209,0.663046701587652,0.586288284409229,-1.20370816598297,-0.736123677693048,2.41671043451639,0.273113589080169,0.612273455760075,2.49922874558304,-0.317961494712881,-1.41117681384443,0.163044182177805,-0.66293690678976,-0.251504982953236,-0.350006847802099,1.10551875152873,1.18504379282989,4.39118196651716,-1.33567954349889,1.55514843179964,0.383572811042186,3.15565844775379,-0.0691382366205187,1.92796510533149,1.75933892695412,1.7130548861832,0.187146121337484,-0.54953078959055,0.32959990474391,0.0260094716684729,2.04431124495362,0.122254860488878,0.883601014426913,-0.595128142717836,2.02594753485931,-1.41117681384443,-1.5033924378847,-1.46763356938815,0.443620524703556,0.966218530217376,0.874770384809006,-0.850600285493742,0.775376218918865,2.16189849628054,-0.569866129426002,-0.569866129426002,0.0260094716684729
s17,Basal-like,2.00400441227698,0.43865177861302,0.737882181210211,0.0930453609860676,1.01332572239099,-1.40440859715254,-1.25337404330116,2.74361305298977,-1.30552743275749,0.372221480498617,1.94622360292779,0.310578315859314,-1.44418269515902,0.346462156045614,-0.404054810668832,1.12801601531009,0.351964167045956,0.733374827187806,0.707367957946061,3.10088044699378,-1.38840822369707,1.77951666746534,0.0598656987575387,3.10998724354839,0.209116940892645,0.299839208717203,0.853225603081771,2.34537386499562,-1.23807009690912,-0.630922295253406,-0.327571725040993,-0.822104978265735,-0.665322869775259,1.2615020577724,-0.115204166519858,-1.34834785582639,2.15477188799472,-1.40440859715254,-0.984758721082199,-1.12638356315418,0.423551430928409,-0.661172261622635,-0.587273167092959,-1.05405080193448,1.47717685374062,1.91727277555551,-0.283750086930196,0.373551441524712,0.430121082451231
s18,Classical,3.26070602058653,1.86782849643073,1.74438277281119,-0.177905950203197,1.919635044031,1.01457156648227,1.88411153060257,3.68229387159123,0.746368417750544,-0.100082756967764,2.48833260491119,-0.422190623450433,-1.35057007720409,2.12199230810963,1.50319345631364,0.41992412160544,-0.281219827752184,-0.401600055245909,0.248570909878201,1.97741609329763,1.24610511581409,0.592174329125485,-1.52273165157336,2.70068810583111,0.000396076394550753,2.87515373158459,0.231356141459418,2.47525666336705,1.24344900733598,-0.141354250519769,0.922603663057311,3.38342676912074,0.609766128211375,0.79815192033628,1.06198956207142,-0.971282053842276,2.37257240318841,-0.165505967571924,-0.710452853643356,-1.06007322578475,1.37343541596877,2.93406850325403,1.94114329289686,2.47323317856042,1.26524164248252,2.57184521212141,-0.546734263884162,-0.376023943237065,1.5075600188117
s19,Classical,2.64666760044939,0.350649868328817,2.1340990463458,-0.444937364432993,1.13788960622622,0.170498395866728,1.66334970977701,3.62008351510584,-0.249116252696991,-0.880529986026494,2.77829231921304,-1.00035791311977,-1.30446678211442,1.51146655117877,1.2454187611533,-0.435971866246473,-0.136419517167658,-0.771842234877276,0.152516269255635,3.16375951281409,2.09614920785605,0.760667383396936,-1.41028036316698,2.223502192157,-0.235542208621993,2.35168547672579,-1.46036349073546,3.01211234795006,0.940751706903831,-0.249116252696991,0.137324528471215,2.02458774043442,-0.337982961404209,0.528256943591077,0.154097397438169,-1.2028153286233,2.47372641841646,-0.789698765116932,-0.41318351225305,-0.554135293843472,1.05434306971854,2.17659592541347,0.253701447548327,1.61034114136342,1.04864986333062,2.12366974214307,-1.48979480192027,-1.15395873210953,1.29158105337703
s20,Basal-like,1.64360299653524,-0.0996768876442733,0.4304429703866,-0.880713198804321,0.818583131342179,-1.58269326176401,-0.243487375109511,3.00403943891764,-1.18609913785503,-0.387963786362781,2.50163757318083,-1.18035132376262,-1.73110565765185,-1.03556241948082,-0.371338152589486,-0.411898580337956,-1.39232825251381,-1.39232825251381,-0.553612399396844,2.12736908876076,-1.73110565765185,-1.39232825251381,-1.82179776010783,1.59652155029788,-1.07193556861535,0.982537669311107,-1.33321243421001,1.90378844500198,-0.492744362422689,-0.601825966894661,0.356165396971499,-0.396421523925157,-1.32540926464611,0.104875974545431,-1.73110565765185,-1.61948123789784,1.60922190047583,-1.47339672988131,-1.29550816083242,-1.14712034337994,-0.150240202351537,-0.219049551237296,-0.0619957324866804,-0.601825966894661,1.48001814137973,1.53697999564173,-1.73110565765185,-0.0128562985983737,0.369063097009081
s21,Basal-like,2.37653021072714,0.688343921903536,0.898059501282857,0.365025967409941,1.33788971808477,-0.93150713183916,1.53386738764024,3.96828794707901,-0.170682433180498,0.332061206540671,2.22825916665297,-0.741566808132059,-1.37093397400163,-0.572427840193175,-0.637214465925939,0.406130152337196,-1.2838466058337,0.00777331570117019,0.0659529125715132,2.71969049366221,1.28202966424365,0.208103919007827,-1.62806165279826,2.37568086151039,0.0767274353215883,2.15240815206022,-0.894403391874189,2.55248319744692,-0.622278252558545,-0.634200878210808,0.717612994431445,2.65411733502837,-0.800681378782305,1.37389629790131,-1.39663759447828,-1.35290176019213,2.25515054113497,-1.20857215996646,-1.22936740798388,-1.1336883924514,0.282754045225423,0.991955330274746,-0.0459775518781163,-0.565591885920879,1.13817689699955,2.46520473801481,-0.828363030592323,0.0961786679401771,0.985194876587465
