,Subtype,FAT2,KRT5,CPA1,CTRB2,CPB1,CELA3A,CTRB1,CPA2,REG1B,CTRC,AMY2A,CEL,KRT14,DNER,TNNT3,RHCG,H19,TENM2,KRT13,KRT6A,IGKV1-12,MUC2,SPINK4,TM4SF20,KRT20,B3GNT6,REG4,BTNL3,HMGCS2,GPA33,ADGRG7,ITLN1,GUCY2C,MUC17,SLC13A2,PRAP1,FEZF1,BTNL8,APOBEC1,TFF1,PHGR1,MYO7B
s11,Consensus_class_1,-1.55044918383692,-1.52058049244624,-1.58945850191299,-1.58945850191299,-1.58945850191299,-1.58945850191299,-1.58945850191299,-1.68386414155418,-1.58945850191299,-1.58945850191299,-1.58945850191299,-1.41815656101323,-1.58945850191299,-0.664816523992153,-1.37294138093904,-1.52058049244624,0.0653192324373355,-0.664816523992153,-1.37294138093904,-1.29891863601469,-1.52058049244624,-0.728805763347769,-1.38720605642046,1.42237647949582,-0.180556148525284,-1.45343308077176,0.934148820110602,-0.600813122242766,-0.74314672975763,-0.54252628252681,-0.0290771721800987,-1.43514412987033,0.765375953759207,2.22733109122257,-0.837008696542447,-0.401684745741132,-1.68386414155418,-0.175876099296353,-1.43514412987033,0.0066106161245664,-0.812149593722088,1.06561425002175
s12,Consensus_class_1,-1.36708320702811,-1.27141237755457,-0.852561658625606,-0.862113684018478,-0.819467910899797,-1.30902333620486,-1.06162244424472,-1.19558087272131,-1.23803633172957,-0.96598361613413,-1.43699544590285,-0.395162526439656,-1.09434905953125,-1.02313879146774,-1.20366459686358,-1.58872001974152,-1.08517828629564,-1.531282532828,-1.20777693641644,-0.576564838256382,-1.25666819787781,-1.01528988877493,-1.20777693641644,-1.40751741586516,-1.531282532828,-0.273571715719665,1.19806120082814,-0.848786478235783,-0.828467029634243,-0.701849717792144,-1.2519064453856,-1.58872001974152,-1.2519064453856,2.25291395102548,-1.30332945731668,-1.50751266948369,-1.22473375318874,-0.194272784726841,-0.446975392944954,3.09999600631194,-1.09434905953125,0.359903590039954
s13,Consensus_class_1,-1.64297104693494,-1.03985545998354,-0.447444021835366,0.268761782153128,-0.0811586154113502,-1.19626543397565,-1.028514633267,-1.64297104693494,-1.64297104693494,-1.64297104693494,-1.42809042715726,-0.888815578049508,-1.25122810940242,-1.10092304413241,-1.64297104693494,-1.59591519234541,-0.659966711613018,-0.968163335603601,1.38406238416956,-0.114442937098177,-0.488806017544474,-0.984069831041655,-1.25393128336655,-0.492046564476949,-0.896255490710265,-1.0065751143206,2.52256075779248,-1.43850747057686,0.463357042412611,-1.17363582626395,-1.29417928469539,-1.53782533538701,-0.863521172288266,-0.873024815675178,-1.46730692564603,-1.64297104693494,-1.19163684055735,0.222343067496231,-0.420054577549567,0.786364772984697,-1.22524870131992,0.602566864752677
s14,Consensus_class_1,-1.45743214343115,-1.45743214343115,-1.45743214343115,-1.45743214343115,-1.42239668536232,-1.45743214343115,-1.45743214343115,-1.45743214343115,-1.45743214343115,-1.45743214343115,-1.45743214343115,-1.31876011275071,-0.932909687259929,-1.42239668536232,-1.45743214343115,-1.45743214343115,-1.26278313691947,-1.37298355426351,0.493905041886825,-0.344443406671611,-1.54219417573601,-0.627840639028758,-1.06444220268396,1.17883356118333,-1.31876011275071,-1.05073725221522,3.24998312326393,-0.0468761081314331,0.361825859734058,-0.618931415068866,-0.541518835750565,-0.855797967185977,-0.677737302577681,2.34136981006014,-1.35312699011818,-0.109450838782552,-1.15842355342019,0.381663196008148,-0.100147991932933,3.16759034794463,-0.0444412309322444,1.09593724302356
s15,Consensus_class_1,-1.4855280485768,-1.4855280485768,-1.4855280485768,-1.59639192225402,-1.4855280485768,-1.59639192225402,-1.59639192225402,-1.59639192225402,-1.59639192225402,-1.4855280485768,-1.59639192225402,-1.43976435043042,-1.4855280485768,-1.23230734394093,-1.4855280485768,-1.4855280485768,-1.17285801105146,-1.13374557553081,-1.34948164252642,-0.563204270974015,-1.4855280485768,1.59385582556993,-0.554685419578053,-1.4047551120702,-1.32618247305686,-0.952690337392841,1.1479380869437,-1.43976435043042,-0.740502515357034,-0.593951753989713,-1.146357672463,-1.32618247305686,-1.30481945542653,1.07830675248772,-0.952690337392841,-0.729181134733864,-0.928152470081743,0.408528560500802,-0.267989474999225,2.49046740224068,0.028114702939067,1.47684398134581
s16,Consensus_class_1,-1.06895595130651,1.06256451811015,-0.853093266737073,-1.06895595130651,-0.853093266737073,-1.63670102586705,-1.06895595130651,-1.06895595130651,-1.06895595130651,-0.853093266737073,-1.63670102586705,-0.471127581197687,0.297733032549623,-0.574465505378753,-1.06895595130651,-1.06895595130651,-1.63670102586705,-0.69795045772725,0.0822016314909086,0.938479570754865,-1.63670102586705,-1.63670102586705,-1.06895595130651,0.327948259577519,1.86093340355673,-1.06895595130651,1.95668289072248,-0.169346885791205,-1.06895595130651,-0.303372384467961,-0.169346885791205,0.614777729711234,-1.06895595130651,1.78035630959295,-1.06895595130651,-1.63670102586705,-1.63670102586705,0.0387229655965065,-0.233042850958683,0.509178898029748,-0.574465505378753,0.974558350534179
s17,Consensus_class_1,-1.3597526655007,-0.686183764147514,-1.31223668522225,-1.20793442341687,-0.851531462935479,-1.31223668522225,-1.4414493275274,-1.31223668522225,-0.588826974682458,-1.23862695136233,-1.33943861714743,-0.271470651043942,-1.42414576882989,-1.12522414435029,-1.48879906945989,-0.940690481591771,-1.30384873726831,-1.01629584939007,-1.17459444704446,0.771179296937429,-1.04577301602815,1.23402764816269,-0.838865076223996,0.828647945296392,-0.826486144617988,-0.62768315362284,3.143359776041,-0.539995105068312,-1.1908492023951,0.695513086259305,-0.241838078651034,-1.39516197564742,-0.0254922539376067,2.76131836282957,-1.42414576882989,-1.24515729514874,-1.48879906945989,0.766098155440805,-0.899787773053062,1.96862281718614,0.0001776402289547,0.991528169384935
s18,Consensus_class_1,-1.58755026935031,-1.36035917543308,-0.797659550594001,-0.646721836066343,-0.443499854281268,-1.31950504508731,-1.02836300596318,-1.12882085799346,-0.387558253536123,-1.04292484048743,-1.43545432712975,0.517661883297585,-1.52644666699346,-1.30088154257962,-1.5041408530528,-1.33925880669207,-0.656737674940125,-0.99590565980453,2.17366571182533,-1.16559310810217,-1.58755026935031,-1.05791914626774,-1.00042064525757,-0.345280362636823,-1.52644666699346,-1.09478628654084,3.3333084874001,-1.06817210586005,0.33723423004689,-0.028480995929304,-1.43545432712975,-1.32922861099934,-1.34962443693331,2.33100810488068,-1.30088154257962,-1.52644666699346,-0.72601911684354,0.0471609721385925,-0.751912123687681,2.82500647145234,1.28366695939995,1.2534406234848
s19,Consensus_class_1,-1.26448772774844,-0.186351418286006,0.426851341951734,-0.0927652497856559,0.647226128413348,-0.866029583040448,0.139819281558797,-0.596561792251505,-1.39301102945807,-0.315479321829373,-1.12710683387935,-0.495589700325756,-1.40288420258698,-1.58650512402232,-1.52514687534205,-1.32052219431175,-1.28801691776232,-1.39301102945807,-0.688651462318931,0.991866689986826,-0.711897347399977,-0.718707708440183,-0.825472904766294,-1.46390255527313,-1.10475973375206,0.123141823552014,1.76745071490037,-1.20770238337721,0.57335328541799,-0.688651462318931,-1.23743751351688,-1.38362895116624,-1.41333248576755,-0.81933082093044,-1.38362895116624,-1.36609025732646,-0.884046151953157,-0.734321583448028,-0.415652266073878,3.51804172334773,-1.12710683387935,-0.658464992614379
s20,Consensus_class_1,-1.4615538464284,-0.341587125241341,-0.515875081109134,0.229365670060798,0.181001910301803,-1.11473587254457,-0.369106070296961,-0.741573283377883,0.232555466378179,-0.407453052020211,-1.4615538464284,0.889900036568186,-1.69686136924351,-1.17370650800118,-1.20574215315893,-1.74189733670087,0.477844918164542,-0.945177191271239,0.185525988771903,1.06081692230688,-1.58493521610312,-0.28731190974842,-1.56385199441409,-0.714735275637692,0.924173532751698,-1.10090287162585,2.29317941540097,-0.710984126670276,-1.12177900663827,-0.204110421716002,-0.302117578066359,-1.63339713768457,0.384297693701331,1.70026834617286,-1.44716964567437,-0.899165033507052,-1.17370650800118,0.259662346343047,-1.0240931597913,1.88695900286412,-0.681675363227268,1.37695011367569
